,productid,product_name,brand_name,event_date_of_launch,country_of_launch,market_category,market_subcategory,Company,uhc,nutrition,standard_serving_size,energy_kcal,protein,fat, Fiber_DietaryFiber,Fat,Fiber,Protein,Moisture,Ash,Calories
23,6149634,Merrick Purrfect Bistro Complete Care Weight Control Recipe Dry Cat Food,Merrick,2019-01-09,United States,Pet Food,Cat Food - Dry,Merrick Pet Care,Nestle,"bacilluscoagulans(g/mg): 90million cfu, l-carnitine(g/mg): 200mg, selenium(g/mg): 0.3mg, vitaminemg: 60iu, crudefat: 9%, crudefiber: 7%, crudeprotein: 32%, moisture: 11%, omega3fattyacids: 0.4%, omega6fattyacids: 2%, phosphorus: 0.8%, taurine: 0.2%",,,,,,2,7,32,11,,
24,5326607,Sport Dog Food Active Series Bird Dog Whitefish Formula Pea Free Flax Free Dry Dog Food,Sport Dog Food,2018-01-10,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 495kcal, calcium: 1.49%, crudefat: 16%, sodium carbonate (ash): 7.68%, crudeprotein: 26%, crudefiber: 3.2%, moisture: 9%, animalprotein: 87%, phosphorus: 0.95%, linoleic(omega6): 2.57%, linolenic(omega3): 0.9%",,495.0,,,,16,3.2,87,9,7.68,495
25,5885354,Get Naked Premium Fitness Care Dog Treats With Chicken And Pumpkin Flavor,Get Naked Premium,2019-01-05,United States,Pet Food,Dog Snacks/Treats,Natural Polymer International Corporation,Natural Polymer International Corporation,"bascilluscoagulans(g/mg): 150million cfu, calcium: 0.3%, crudeprotein: 6.5%, dha: 0.35%, moisture: 15%, crudefiber: 9%, crudefat: 2.5%, total calories: 2750kcal, zinc(g/mg): 20mg, manganese(g/mg): 60mg, l-carnitine(g/mg): 450mg",,2750.0,,,,2.5,9,6.5,15,,2750
26,5614040,Halo Holistic Chicken And Chicken Liver Recipe For Senior Cats,Halo,2019-01-02,United States,Pet Food,Cat Food - Dry,Halo,Halo,"taurine: 10%, crudeprotein: 30%, crudefat: 10%, crudefiber: 5%, sodium carbonate (ash): 7.2%, total calories: 3520kcal, vitaminemg: 200iu, moisture: 10%, omega6fattyacids: 2.2%, omega3fattyacids: 0.7%",,3520.0,,,,0.7,5,30,10,7.2,3520
27,6218013,Because Animals Noochies Organic Cookies Dog Treats,Because Animals,2019-01-12,United States,Pet Food,Dog Snacks/Treats,Because Animals,Because Animals,"total calories: 3404kcal, thiaminevitaminb1(g/mg): 3.4mg, riboflavinvitaminb2(g/mg): 6.7mg, folic acidvitaminb9(g/mg): 0.6mg, crudefat: 4%, crudeprotein: 10%, moisture: 9%, crudefiber: 2%",,3404.0,,,,4,2,10,9,,3404
28,4760696,Halo Wild Salmon And Venison Recipe Small Breed Canned Dog,Halo,2018-01-01,United States,Pet Food,Dog Food - Wet,Halo,Halo,"total calories: 1166kcal, moisture: 78%, crudefiber: 2%, crudefat: 7%, crudeprotein: 8.5%",,1166.0,,,,7,2,8.5,78,,1166
29,4626089,Purina Beneful Incredibites Just For Small Dogs With Real Beef,Purina Beneful,2018-01-02,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"total calories: 3623kcal, vitaminamg: 12500iu, selenium(g/mg): 0.2mg, vitaminemg: 150iu, moisture: 14%, crudeprotein: 27%, crudefat: 13.5%, crudefiber: 4%",,3623.0,,,,13.5,4,27,14,,3623
30,6623241,9lives Indoor Complete Dry Cat Food With Chicken and Salmon Flavors,9lives,2020-01-07,United States,Pet Food,Cat Food - Dry,Big Heart Pet Brands,The J M Smucker Company,"calcium: 1%, iron(g/mg): 180mg, crude protein: 30%, crude fiber: 4%, crude  fat: 9%, moisture: 12%, phosphorus: 0.8%, selenium(g/mg): 0.4mg, vitamin  e(g/mg): 100iu, taurine: 0.1%",,,,,,9,4,30,12,,
31,7385410,Purina Pro Plan Sport Performance 30 20 Salmon And Cod Dry Dog Food,Pro Plan,2021-01-06,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"calcium: 1.1%, vitamin  a(g/mg): 15000iu, vitamin c (g/mg): 100mg, moisture: 12%, crude protein: 30%, crude fat: 20%, crude fiber: 3%, linoleic acid: 1.8%, eicosapentaenoic acid  (epa): 0.12%, docosahexaenoicacid (dha): 0.12%, phosphorus(p): 0.9%, selenium(se)(g/mg): 0.35mg, vitamin  e(g/mg): 500iu, glucosamine(g/mg): 500ppm, omega 6 fatty acids: 1.9%, bacilluscoagulans(g/mg): 600million cfu",,,,,,20,3,30,12,,
32,5665722,Merrick Grain Free Real Chicken And Sweet Potato Recipe Senior Dry Dog Food,Merrick,2019-01-04,United States,Pet Food,Dog Food - Dry,Merrick Pet Care,Nestle,"total calories: 3477kcal, chondroitinsulfate(g/mg): 1200mg, glucosamine(g/mg): 1200mg, l-carnitine(g/mg): 200mg, bacilliuscoagulans(g/mg): 90million cfu, crudefat: 12%, crudefiber: 3.5%, crudeprotein: 32%, moisture: 11%, omega-3fattyacid: 0.4%, omega-6fattyacid: 4.8%",,3477.0,,,,4.8,3.5,32,11,,3477
